year,open,high,low,close,volume,Ticker_symbol,ROE,ROA,PE,PB
2024,40.10556,40.575559999999996,39.6546,40.00412,2080801.628,ACB,0.217459198,0.02121527,6.956802744,1.399481857
2023,32.8455421686747,33.20261044176707,32.47642570281125,32.82971887550201,1175156.0522088353,ACB,0.247996903,0.024187983,6.405254747,1.41226331
2022,27.832489959839357,28.398875502008032,27.367510040160642,27.84975903614458,2043014.253012048,ACB,0.264916774,0.024106462,5.962442616,1.381289283
2021,24.988799999999998,25.315279999999998,24.62056,24.95628,2651856.4,ACB,0.239025685,0.019752639,6.259838505,1.31785001
2020,23.701587301587303,24.081746031746032,23.376468253968252,23.71761904761905,1477492.8174603174,ACB,0.243075303,0.018556545,9.899843425,2.103741405
2024,40.10556,40.575559999999996,39.6546,40.00412,2080801.628,ACV,0.187241956,0.142738711,22.66054456,3.905593195
2023,32.8455421686747,33.20261044176707,32.47642570281125,32.82971887550201,1175156.0522088353,ACV,0.153307261,0.113254717,42.21827729,5.39248566
2022,27.832489959839357,28.398875502008032,27.367510040160642,27.84975903614458,2043014.253012048,ACV,0.174194763,0.123121406,21.68336358,3.158297838
2021,24.988799999999998,25.315279999999998,24.62056,24.95628,2651856.4,ACV,0.020999505,0.014117929,263.6604638,4.921152667
2020,23.701587301587303,24.081746031746032,23.376468253968252,23.71761904761905,1477492.8174603174,ACV,0.044333205,0.02863222,142.803813,4.784284162
2024,40.10556,40.575559999999996,39.6546,40.00412,2080801.628,BID,0.18791148,0.009926477,11.41275597,2.020559144
2023,32.8455421686747,33.20261044176707,32.47642570281125,32.82971887550201,1175156.0522088353,BID,0.193643658,0.009940932,11.36901253,1.815521914
2022,27.832489959839357,28.398875502008032,27.367510040160642,27.84975903614458,2043014.253012048,BID,0.193366667,0.009489215,14.27878721,2.20714456
2021,24.988799999999998,25.315279999999998,24.62056,24.95628,2651856.4,BID,0.130636895,0.006613795,23.0608055,2.348695404
2020,23.701587301587303,24.081746031746032,23.376468253968252,23.71761904761905,1477492.8174603174,BID,0.091844675,0.00480507,29.08599179,1.952793208
2024,33.8846,34.258,33.4844,33.9116,8119676.104,CTG,0.184724692,0.011532379,8.815245006,1.499531837
2023,26.443775100401606,26.693413654618475,26.148072289156627,26.442530120481926,4155385.9759036144,CTG,0.17118393,0.010436036,11.73689407,1.623747796
2022,25.21835341365462,25.651606425702813,24.82839357429719,25.20116465863454,6169951.534136546,CTG,0.166834112,0.010080783,9.006492867,1.212305793
2021,28.784200000000002,29.206799999999998,28.36252,28.73556,13321202.0,CTG,0.158776741,0.009895735,10.79240475,1.408822243
2020,17.00702380952381,17.2825,16.767222222222223,17.011825396825394,6819990.753968254,CTG,0.169043022,0.010655651,11.57251152,1.488263756
2024,118.7392,119.9752,117.69167999999999,118.88704,4010589.156,FPT,0.286267376,0.118658632,26.23885406,6.897133694
2023,68.24751004016065,68.8806827309237,67.62329317269077,68.28763052208835,1491617.59437751,FPT,0.28096926,0.115518696,29.95584669,7.755680663
2022,58.61787148594377,59.44132530120482,57.81104417670683,58.59963855421687,1741885.6064257028,FPT,0.27240118,0.10081048,19.85350238,5.009773059
2021,48.792519999999996,49.34332,48.2854,48.8276,2439204.4,FPT,0.216742431,0.090900324,16.09040685,3.8906214
2020,24.1984126984127,24.462698412698415,23.96142857142857,24.219682539682537,1914161.746031746,FPT,0.199859458,0.094185518,20.60787923,4.631369794
2024,71.36388000000001,71.88528,70.833,71.19403999999999,1048131.38,GAS,0.167315556,0.122615538,15.56769935,2.686882299
2023,73.66815261044177,74.24606425702811,72.9221686746988,73.48180722891567,476523.4176706827,GAS,0.187335443,0.136207342,13.91522745,2.442015347
